ID;WORD;VOCALIZED;WORD_TYPE;ANTO_SET;ANTO_SET_VOCALIZED
8098;منفك;مُنْفَكّ;اسم;"منعقد";"مُنْعَقِد"
8099;منفي;مَنْفِيّ;اسم;"مثبت;مؤكّد";"مُثْبَت;مُؤَكَّد"
8100;منقاد;مُنْقَاد;اسم;"عاصيمتمرّد";"عَاصِيمُتَمَرِّد"
8101;منقبض;مُنْقَبِض;اسم;"منبسط;سلوّ";"مُنْبَسِط;سُلُوّ"
8102;منقح;مُنَقِّح;اسم;"مفسد";"مُفْسِد"
8103;منقذ;مُنْقِذ;اسم;"مهلك";"مُهْلِك"
8104;منقرض;مُنْقَرِض;اسم;"ناميمتزايد";"نَامِيمُتَزَايِد"
8105;منقسم;مُنْقَسِم;اسم;"متوحّد;متجمّع";"مُتَوَحِّد;مُتَجَمِّع"
8106;منقص;مُنْقَص;اسم;"منوصل";"مُنْوَصِل"
8107;منقض;مُنْقَض;اسم;"متراجع";"مُتَرَاجِع"
8108;منقضب;مُنْقَضِب;اسم;"متّصل";"مُتَّصِل"
8109;منقضع;مُنْقَضِع;اسم;"متجمّع";"مُتَجَمِّع"
8110;منقضي;مُنْقَضِي;اسم;"دائم;مستمرّ";"دَائِم;مُسْتَمِرّ"
8111;منقطع;مُنْقَطِع;اسم;"مستمرّ;مثابر;مواظب";"مُسْتَمِرّ;مُثَابِر;مُوَاظِب"
8112;منقعش;مُنْقَعِش;اسم;"باني;راجع";"بَانِي;رَاجِع"
8113;منقعص;مُنْقَعِص;اسم;"مستقيم";"مُسْتَقِيم"
8114;منقعض;مُنْقَعِض;اسم;"مستقيم";"مُسْتَقِيم"
8115;منقفع;مُنْقَفِع;اسم;"مخضر";"مُخْضَر"
8116;منقفل;مُنْقَفِل;اسم;"مفتوح";"مَفْتُوح"
8117;منقلع;منْقَلِع;اسم;"مغروس";"مَغْرُوس"
8118;منقمس;مُنْقَمِس;اسم;"ظاهر";"ظَاهِر"
8119;منقمع;مُنْقَمِع;اسم;"ظاهر";"ظَاهِر"
8120;منقهل;مُنْقَهِل;اسم;"نشيط";"نَشِيط"
8121;منكب (على العمل);مُنْكَبّ (عَلَى العَمَلِ);اسم;"معرض (عنه)";"مُعْرِض (عَنْهُ)"
8122;منكتل;مُنْكَتِل;اسم;"متمهّل";"مُتَمَهِّل"
8123;منكثم;مُنْكَثِم;اسم;"فرح";"فَرِح"
8124;منكر;مُنْكَر;اسم;"معروف";"مَعْرُوف"
8125;منكر;مُنْكِر;اسم;"معترف";"مُعْتَرِف"
8126;منكرس;مُنْكَرِس;اسم;"مهمل";"مُهْمِل"
8127;منكشح;مُنْكَشِح;اسم;"متجمّع";"مُتَجَمِّع"
8128;منكف;مُنْكَفّ;اسم;"منكبّ";"مُنْكَبّ"
8129;منكفس;مُنْكَفِس;اسم;"مستقيم";"مُسْتَقِيم"
8130;منكمي;مُنْكَمِي;اسم;"ظاهر";"ظَاهِر"
8131;منكمش;مُنْكَمِش;اسم;"متمدّد";"مُتَمَدِّد"
8132;منمس;مُنْمِس;اسم;"مصلح";"مُصْلِح"
8133;منمش;مُنْمِش;اسم;"مصلح";"مُصْلِح"
8134;منهاج;مِنْهَاج;اسم;"سير على غر هدى";"سَيْر عَلَى غَْرِ هُدَى"
8135;منهار;مُنْهَار;اسم;"مرتفعصلب";"مُرْتَفِعصُلْب"
8136;منهبط;مُنْهَبِط;اسم;"مرتفع";"مُرْتَفِع"
8137;منهد;مُنْهَدّ;اسم;"مرتفع";"مُرْتَفِع"
8138;منهدم;مُنْهَدِم;اسم;"مرتفع";"مُرْتَفِع"
8139;منهزم;مُنْهَزِم;اسم;"غالب";"غَالِب"
8140;منهك;مُنْهِك;اسم;"مريح";"مُرِيح"
8141;منهفت;مُنْهَفِت;اسم;"متكبّر;مترفّع";"مُتَكَبِّر;مُتَرَفِّع"
8142;منهل;مُنْهَلّ;اسم;"منحبس";"مُنْحَبِس"
8143;منهمر;مُنْهَمِر;اسم;"منحبس";"مُنْحَبِس"
8144;منهمل;مُنْهَمِل;اسم;"منحبس";"مُنْحَبِس"
8145;منهوب;مَنْهُوب;اسم;"مردود";"مَرْدُود"
8146;منهي;مُنْهِي;اسم;"بادئ";"بَادِئ"
8147;منوه;مُنَوِّه;اسم;"مندّد";"مُنَدِّد"
8148;منير;مُنِير;اسم;"مظلم";"مُظْلِم"
8149;منيف;مُنِيف;اسم;"منخفض";"مُنْخَفِض"
8150;مهاتر;مُهَاتِر;اسم;"مادح";"مَادِح"
8151;مهاترة;مُهَاتَرَة;اسم;"حقيقة;مدحة";"حَقِيقَة;مِدْحَة"
8152;مهاجاة;مُهَاجَاة;اسم;"مدحة";"مِدْحَة"
8153;مهاجر;مُهَاجِر;اسم;"مقيم;مستقرّ;مساكن;مستوطن";"مُقِيم;مُسْتَقِرّ;مُسَاكِن;مُسْتَوْطِن"
8154;مهاجرة;مُهَاجَرَة;اسم;"إقامة";"إِقَامَة"
8155;مهاجم;مُهَاجِم;اسم;"متراجع";"مُتَرَاجِع"
8156;مهاجمة;مُهَاجَمَة;اسم;"تراجع";"تَرَاجُع"
8157;مهادن;مُهَادِن;اسم;"مقاتل";"مُقَاتِل"
8158;مهادنة;مُهَادَنَة;اسم;"مقاتلة;قتال";"مُقَاتَلَة;قِتَال"
8159;مهانضة;مَهَانضة;اسم;"كرامة;عزّ";"كَرَامَة;عِزّ"
8160;مهبش;مُهَبِّش;اسم;"مفرّق";"مُفَرِّق"
8161;مهتجر;مُهْتَجِر;اسم;"مؤالف";"مُؤَالِف"
8162;مهتجم;مُهْتَجِم;اسم;"متراجع";"مُتَرَاجِع"
8163;مهتدي;مُهْتَدِي;اسم;"ضالّ";"ضَالّ"
8164;مهتر;مُهْتِر;اسم;"عاقل";"عَاقِل"
8165;مهترش;مُهْتَرِش;اسم;"مؤالف";"مُؤَالِف"
8166;مهتز;مُهْتَزّ;اسم;"ساكن";"سَاكِن"
8167;مهتلك;مُهْتَلِك;اسم;"حذر;متوقّي";"حَذِر;مُتَوَقِّي"
8168;مهتمط;مُهْتَمِط;اسم;"عادل;منصف";"عَادِل;مُنْصِف"
8169;مهجور;مَهْجُور;اسم;"آهل;عامر;مسكون";"آهِل;عَامِر;مَسْكُون"
8170;مهدئ;مُهَدِّئ;اسم;"مقلق;محرّك";"مُقْلِق;مُحَرِّك"
8171;مهدد;مُهَدِّد;اسم;"مطمئن";"مُطَمْئِن"
8172;مهذب;مُهْذِب;اسم;"مبطئ";"مُبْطِئ"
8173;مهذر;مُهْذِر;اسم;"مفصح;موضح";"مُفْصِح;مُوضِح"
8174;مهر (في عمله);مَهَرَ (فِي عَمَلِهِ);فعل;"أخفق;فشل";"أَخْفَقَ;فَشِلَ"
8175;مهرع;مُهْرِع;اسم;"متمهّل";"مُتَمَهِّل"
8176;مهرمع;مُهْرَمِّع;اسم;"بطيء";"بَطِيء"
8177;مهرول;مُهَرْوِل;اسم;"بطيء";"بَطِيء"
8178;مهل;مَهْل;اسم;"تعجيل";"تَعْجِيل"
8179;مهل;مَهَلَ;فعل;"عجّل";"عَجَّلَ"
8180;مهل;مَهَّلَ;فعل;"استعجل";"اسْتَعْجَلَ"
8181;مهمل;مُهْمِل;اسم;"مهتمّ;معتني";"مُهْتَمّ;مُعْتَنِي"
8182;مهموم;مَهْمُوم;اسم;"مسرور;فرح";"مَسْرُور;فَرِح"
8183;مهنئ;مُهَنِّئ;اسم;"معزّي";"مُعَزِّي"
8184;مهنق;مُهْنِق;اسم;"مسلّي";"مُسَلِّي"
8185;مهيب;مُهِيب;اسم;"مطمئنّ";"مُطْمَئِنّ"
8186;موادج;مُوَادِج;اسم;"مخاصم";"مُخَاصِم"
8187;موادجة;مُوَادَجَة;اسم;"مخاصمة";"مُخَاصَمَة"
8188;موادع;مُوَادِع;اسم;"مخاصم";"مُخَاصِم"
8189;موادعة;مُوَادَعَة;اسم;"مخاصمة";"مُخَاصَمَة"
8190;مواري;مُوَارِي;اسم;"مظهر";"مُظْهِر"
8191;مواراة;مُوَارَاة;اسم;"إظهار;إبراز";"إِظْهَار;إِبْرَاز"
8192;موارب;مُوَارِب;اسم;"مخلص;مستقيم";"مُخْلِص;مُسْتَقِيم"
8193;مواربة;مُوَارَبَة;اسم;"إخلاص;استقامة";"إِخْلاَص;اسْتِقَامَة"
8194;موازر;مُوَازِر;اسم;"خاذل";"خَاذِل"
8195;موازرة;مُوَازَرَة;اسم;"خذلان";"خِذْلاَن"
8196;مواطن;مُوَاطِن;اسم;"أجنبيّ";"أَجْنَبِيّ"
8197;مواضب;مُوَاضِب;اسم;"منقطع";"مُنْقَطِع"
8198;مواضبة;مُوَاضَبَة;اسم;"انقطاع";"انْقِطَاع"
8199;موافق;مُوَافِق;اسم;"مخالف";"مُخَالِف"
8200;موافقة;مُوَافَقَة;اسم;"مخالفة";"مُخَالَفَة"
8201;موالاة;مُوَالاَة;اسم;"معارضة";"مُعَارَضَة"
8202;موالي;مُوَالِي;اسم;"معارض";"مُعَارِض"
8203;موت;مَوْت;اسم;"حياة;ميلاد;نجاة";"حَيَاة;مِيلاَد;نَجَاة"
8204;موثوق (به);مَوْثُوق (بِهِ);اسم;"مشكوك (فيه)";"مَشْكُوك (فِيه)"
8205;موجب;مُوجِب;اسم;"نافي";"نَافِي"
8206;موجز;مُوجِز;اسم;"مسهب;مطنب";"مُسْهِب;مُطْنِب"
8207;موجود;مَوْجُود;اسم;"غائب;مفقود";"غَائِب;مَفْقُود"
8208;موحد;مُوَحِّد;اسم;"مفرّق;مقسّم;مجزّئ";"مُفَرِّق;مُقَسِّم;مُجَزِّئ"
8209;موحش;مُوحِش;اسم;"أنيس;مؤنس";"أَنِيس;مُؤْنِس"
8210;مودع;مُوَدِّع;اسم;"مستقبل";"مُسْتَقْبِل"
8211;مورد;مُورِد;اسم;"مصدر";"مُصْدِر"
8212;موري;مُورِي;اسم;"مكبي";"مُكْبِي"
8213;موزع;مُوَزِّع;اسم;"مجمّع";"مُجَمِّع"
8214;موسع;مُوَسِّع;اسم;"مضيّق";"مُضَيِّق"
8215;موصل;مُوصِل;اسم;"عازل";"عَازِل"
8216;موصول;مَوْصُول;اسم;"مقطوع";"مَقْطُوع"
8217;موقع;مُوقِع;اسم;"مخلّص";"مُخَلِّص"
8218;مولى;مَوْلَى;اسم;"عبد";"عِبْد"
8219;مياسر;مُيَاسِر;اسم;"ميامن";"مُيَامِن"
8220;ميت;مَيْت;اسم;"حيّ";"حَيّ"
8221;ميسر;مُيَسَّر;اسم;"معسّر";"مُعَسَّر"
8222;ميسر;مُيَسِّر;اسم;"معسّر";"مُعَسِّر"
8223;ميسرة;مَيْسَرِة;اسم;"ميمنة";"مَيْمَنَة"
8224;ميسور;مَيْسُور;اسم;"معسور";"مَعْسُور"
8225;ميلاد;مِيلاَد;اسم;"موت";"مُوْت"
8226;ميمنة;مَيْمَنَة;اسم;"ميسرة";"مَيْسَرَة"
8227;نأى;نَأَى;اسم;"قرب;دنا;اقترب";"قَرُبَ;دَنَا;اقْتَرَبَ"
8228;ناء(بالحمل);نَاءَ(بِالحِمْلِ);فعل;"نهض(به);قام(به);";"نَهَضَ(بِهِ);قَامَ(بِهِ);"
8229;نائح;نَائِح;اسم;"منشد";"مُنْشِد"
8230;نائم;نَائِم;اسم;"مستيقظ";"مَسْتَيْقِظ"
8231;نائي;نَائِي;اسم;"قريب";"قَرِيب"
8232;نابش;نَابِش;اسم;"ساتر;مخفي;";"سَاتِر;مَخْفِي;"
8233;ناجح;نَاجِح;اسم;"فاشل";"فَاشِل"
8234;ناجز;نَاجِز;اسم;"مؤخّر;ناقص;";"مُؤَخَّر;نَاقِص;"
8235;ناجي;نَاجِي;اسم;"هالك";"هَالِك"
8236;ناح;نَاحَ;فعل;"ترنّم;شدا;";"تَرَنَّمَ;شَدَا;"
8237;نادب;نَادِب;اسم;"منشد";"مُنْشِد"
8238;نادر;نَادِر;اسم;"كثير";"كَثِير"
8239;نازح;نَازِح;اسم;"مقيم";"مُقِيم"
8240;نازل;نَازِل;اسم;"صاعد;مرتحل;";"صَاعِد;مُرْتَحِل;"
8241;ناسم;نَاسَمَ;فعل;"باعد";"بَاعَدَ"
8242;ناسوت;نَاسُوت;اسم;"لاهوت";"لاَهُوت"
8243;ناسي;نَاسِي;اسم;"متذكّر";"مُتَذَكِّر"
8244;ناشف;نَاشِف;اسم;"مبتلّ";"مُبْتَلّ"
8245;ناصر;نَاصَرَ;فعل;"خذل";"خَذَلَ"
8246;ناطق;نَاطِق;اسم;"ساكت";"سَاكِت"
8247;ناعم;نَاعِم;اسم;"خشن";"خَشِن"
8248;نافخ;نَافِخ;اسم;"شارق";"شَارِق"
8249;نافد;نَافِد;اسم;"دائم";"دَائِم"
8250;نافر;نَافِر;اسم;"ألوف;مجتمع;";"أَلُوف;مَجْتَمِع;"
8251;نافع;نَافِع;اسم;"ضارّ";"ضَارّ"
8252;نافي;نَافِي;اسم;"مثبت;مؤكّد;موجب";"مُثْبِت;مُؤَكِّد;مُوجِب"
8253;ناقص;نَاقِص;اسم;"زائد;ملآن;كامل";"زَائِد;مَلآن;كَامِل"
8254;ناكث(بالعهد);نَاكِث(بِالعَهْدِ);اسم;"بارّ(به);منجز;";"بَارّ(بِهِ);مُنْجِز;"
8255;نام;نَامَ;فعل;"أرق;سهر;سهد;استيقظ";"أَرِقَ;سَهِرَ;سَهِدَ;اسْتَيْقَظَ"
8256;ناهب;نَاهِب;اسم;"مرجع";"مُرْجِع"
8257;ناهض;نَاهَضَ;فعل;"ساعد;آزر;";"سَاعَدَ;آزَرَ;"
8258;ناهض;نَاهِض;اسم;"قاعد;بارك;";"قَاعِد;بَارِك;"
8259;ناهل;نَاهِل;اسم;"ظامىء";"ظَامِىء"
8260;ناهي;نَاهِي;اسم;"آمر";"آمِر"
8261;ناول;نَاوَلَ;فعل;"أخذ";"أََخَذَ"
8262;نأي;نَأْي;اسم;"قرب;دنوّ;";"قُرْب;دُنُوّ;"
8263;نؤي;نُؤْي;اسم;"قرب;دنوّ;";"قُرْب;دُنُوّ;"
8264;نبا(السيف);نَبَا(السَيْفَ);فعل;"أصاب";"أَصَابَ"
8265;نبس;نَبْس;اسم;"سكوت;صمت;";"سُكُوت;صَمْت;"
8266;نبس;نَبَسَ;فعل;"سكت;صمت;";"سَكَتَ;صَمَتَ;"
8267;نبس(السر);نَبَسَ(السِّرَ);فعل;"باح(به)";"بَاحَ(بِهِ)"
8268;نبسة;نُبْسَة;اسم;"سكوت;صمت;";"سُكُوت;صَمْت;"
8269;نبش;نَبْش;اسم;"ستر;إخفاء;قبر";"سَتْر;إِخْفَاء;قَبْر"
8270;نبش;نَبَشَ;فعل;"ستر;أخفى;قبر";"سَتَرَ;أَخْفَى;قَبَرَ"
8271;نبه(للأمر);نَبُهَ(لِلأَمْرِ);فعل;"سها(عنه);تغافل(عنه);";"سَهَا(عَنْهُ);تَغَافَلَ(عَنْهُ);"
8272;نبيه;نَبِيه;اسم;"غافل";"غَافِل"
8273;نتأ -ت (العين);نَتَأَ -تِ (العَيْنُ);فعل;"غار -ت";"غَارَ -ت"
8274;نتانة;نَتَانَة;اسم;"ضوع";"ضَوْع"
8275;نتن;نَتَنَ;فعل;"ضاع;تضوّع;";"ضَاعَ;تَضَوَّعَ;"
8276;نتن;نَتَّنَ;فعل;"ضوّع";"ضَوَّعَ"
8277;نتن;نَتِن;اسم;"متضوّع";"مُتَضَوِّع"
8278;نثا(الحديث);نَثَا(الحَدِيثَ);فعل;"ستر;أسرّ;";"سَتَرَ;أَسَرَّ;"
8279;نثو;نَثْو;اسم;"ستر;إخفاء;";"سَتْر;إِخْفَاء;"
8280;نجا;نَجَا;فعل;"هلك";"هَلَكَ"
8281;نجاء;نَجَاء;اسم;"هلاك";"هلاَك"
8282;نجاة;نَجَاة;اسم;"هلاك";"هَلاَك"
8283;نجاح;نَجَاح;اسم;"فشل";"فَشَل"
8284;نجاسة;نَجَاسَة;اسم;"طهارة;نظافة;";"طَهَارَة;نَظَافَة;"
8285;نجح;نَجَحَ;فعل;"رسب;فشل;خاب";"رَسَبَ;فَشِلَ;خَابَ"
8286;نجد;نَجَدَ;فعل;"خذل;أعرض;";"خَذَلَ;أَعْرَضَ;"
8287;نجد;نَجْد;اسم;"غور";"غَوْر"
8288;نجدة;نَجْدَة;اسم;"خذلان;إعراض;";"خِذْلاَن;إِعْرَاض;"
8289;نجز(بالوعد);نَجَزَ(بِالوَعْدِ);فعل;"أخّر;أخلف;";"أَخَّرَ;أَخْلَفَ;"
8290;نجز(الحاجة);نَجَّزَ(الحَاجَة);فعل;"أخّر;أخلف;";"أَخَّرَ;أَخْلَفَ;"
8291;نجز(الشيء);نَجَزَ(الشَيْءُ);فعل;"دام;استمرّ;";"دَامَ;اسْتَمَرَّ;"
8292;نجس;نَجَّسَ;فعل;"طهّر";"طَهَّرَ"
8293;نجس;نَجُسَ;فعل;"طهر";"طَهُرَ"
8294;نجس;نَجِس;اسم;"طاهر";"طَاهِر"
8295;نجيب;نَجِيب;اسم;"رديء;فاسق;";"رَدِيء;فَاسِق;"
8296;نحافة;نَحَافَة;اسم;"بدانة";"بَدَانَة"
8297;نحرير;نَحْرِير;اسم;"حقير;غافل;";"حَقِير;غَافِل;"
8298;نحس;نَحْس;اسم;"سعد";"سَعْد"
8299;نحس;نَحُسَ;فعل;"سعد";"سَعُدَ"
8300;نحف;نَحُفَ;فعل;"بدن";"بَدُنَ"
8301;نحل;نَحُلَ;فعل;"ضخم";"ضَخُمَ"
8302;نحوس;نُحُوس;اسم;"سعود";"سُعُود"
8303;نحيل;نَحِيل;اسم;"ضخم";"ضَخْم"
8304;نخبة(الناس);نُخْبَة(النَّاسِ);اسم;"سوقة";"سُوقَة"
8305;نخوة;نَخْوَة;اسم;"زمارة";"زَمَارَة"
8306;ندى(الشيء);نَدَّى(الشَّيْءَ);فعل;"جفّف;نشّف;";"جَفَّفَ;نَشَّفَ;"
8307;ندب;نَدْب;اسم;"شدو;ترنّم;";"شَدْو;تَرَنُّم;"
8308;ندب;نَدَبَ;فعل;"شدا;ترنّم;";"شَدَا;تَرَنَّمَ;"
8309;ندبة;نُدْبَة;اسم;"ترنيمة";"تَرْنِيمَة"
8310;ندد(به);نَدَّدَ(بِهِ);فعل;"نوّه(به)";"نَوَّهَ(بِهِ)"
8311;ندر(الشيء);نَدَرَ(الشَيْءُ);فعل;"كثر";"كَثُرَ"
8312;نذير;نَذِير;اسم;"بشير";"بَشِير"
8313;نزح;نَزَحَ;فعل;"أقام;قطن;";"أَقَامَ;قَطَنَ;"
8314;نزع(إلى المكان);نَزَعَ(إِلَى المَكَانِ);فعل;"نزع(عنه)";"نَزَعَ(عَنْهُ)"
8315;نزع(الشيء);نَزَعَ(الشَيْءَ);فعل;"ألصق;علّق;";"أَلْصَقَ;عَلَّقَ;"
8316;نزع(عن المكان);نَزَعَ(عَنِ المَكَانِ);فعل;"نزع(إليه)";"نَزَعَ(إِلَيْهِ)"
8317;نزق;نَزَق;اسم;"حلم";"حِلْم"
8318;نزق;نَزِقَ;فعل;"حلم";"حَلُمَ"
8319;نزق;نَزِق;فعل;"حليم";"حَلِيم"
8320;نزل;نَزَلَ;فعل;"صعد";"صَعَدَ"
8321;نزل;نَزَّلَ;فعل;"صعّد";"صَعَّدَ"
8322;نزل(في المكان);نَزَلَ(فِي المَكَانِ);فعل;"رحل;ارتحل;";"رَحَلَ;ارْتَحَلَ;"
8323;نزلة;نَزْلَة;اسم;"صعود";"صُعُود"
8324;نزوح;نُزُوح;اسم;"إقامة";"إِقَامَة"
8325;نزول;نُزُول;اسم;"صعود;هجرة;ارتحال";"صُعُود;هِجْرَة;ارْتِحَال"
8326;نسق;نَسْق;اسم;"بعثرة";"بَعْثَرَة"
8327;نسق(الأشياء);نَسَّقَ(الأَشْيَاءَ);فعل;"بعثرة";"بَعْثَرَة"
8328;نسي;نَسِيَ;فعل;"ذكر;تذكّر;";"ذَكَرَ;تَذَكَّرَ;"
8329;نسيان;نِسْيَان;اسم;"تذكّر";"تَذَكُّر"
8330;نشر;نَشْر;اسم;"طيّ";"طَيٌّ"
8331;نشر;نَشَرَ;فعل;"طوى";"طَوَى"
8332;نشر(الخبر);نَشَرَ(الخَبَرَ);فعل;"أسرّ;أخفى;";"أَسَرَّ;أَخْفَى;"
8333;نشط;نَشُطَ;فعل;"كسل";"كَسُلَ"
8334;نشف;نَشَّفَّ;فعل;"بلّل";"بَلَّلَ"
8335;نشف;نَشُفَ;فعل;"ابتلّ";"ابْتَلَّ"
8336;نشيط;نَشِيط;اسم;"خامل;كسول;";"خَامِل;كَسُول;"
8337;نصب;نَصَب;اسم;"راحة";"رَاحَة"
8338;نصر;نَصْر;اسم;"خذلان;إنكسار;هزيمة";"خِذْلاَن;إِنْكسَار;هَزِيمَة"
8339;نصر;نَصَرَ;فعل;"خذل";"خَذَلَ"
8340;نضا(السيف من غمده);نَضَا(السَّيْفَ مِنْ غِمْدِهِ);فعل;"أغمد";"أَغْمَدَ"
8341;نضاضة(الشيء);نُضَاضَة(الشَيْءِ);اسم;"كثرة";"كَثْرَة"
8342;نصب(الشيء);نَصَبَ(الشَيْءَ);فعل;"كثر";"كَثُرَ"
8343;نضد(الشيء);نَضَّدَ(الشَيْءَ);فعل;"بعثر";"بَعْثَرَ"
8344;نضر;نَضُرَ;فعل;"قبح";"قَبُحَ"
8345;نضو(من الحيوان);نَضْو(مِنَ الحَيَوَانِ);فعل;"سمين";"سَمِين"
8346;نضوب;نُضُوب;اسم;"كثرة";"كَثْرَة"
8347;نضيد;نَضِيد;اسم;"مبعثر";"مُبَعْثَر"
8348;نضير;نَضِير;اسم;"قبيح";"قَبِيح"
8349;نضيض;نَضِيض;اسم;"كثير";"كَثِير"
8350;نطاسي;نِطَاسِيّ;اسم;"غبيّ";"غَبِيّ"
8351;نطق;نَطَقَ;فعل;"سكت";"سَكَتَ"
8352;نطق;نُطْق;اسم;"سكوت";"سُكُوت"
8353;نظائر;نَظَائِر;اسم;"أضداد";"أَضْدَاد"
8354;نظافة;نَظَافَة;اسم;"قذارة;نجاسة;وساخة";"قَذَارَة;نَجَاسَة;وَسَاخَة"
8355;نظام;نِظَام;اسم;"فوضى";"فَوْضَى"
8356;نظامي;نِظَامِيّ;اسم;"فوضويّ";"فَوْضَوِيّ"
8357;نظر(مليا);نَظَرَ(مَلِيًّا);فعل;"لحظ;لمح;";"لَحَظَ;لَمَحَ;"
8358;ثاقبة -نظرة;ثَاقِبَة -نَظْرَة;اسم;"عابرة;سريعة;";"عَابِرَة;سَرِيعَة;"
8359;دقيقة -نظرة;دَقِيقَة -نَظْرَة;اسم;"عابرة;سريعة;";"عَابِرَة;سَرِيعَة;"
8360;سريعة -نظرة;سَرِيعَة -نَظْرَة;اسم;"دقيقة;ثاقبة;";"دَقِيقَة;ثَاقِبَة;"
8361;عابرة -نظرة;عَابِرَة -نَظْرَة;اسم;"ثاقبة ;دقيقة;";"ثَاقِبَة ;دَقِيقَة;"
8362;نظري;نَظَرِيّ;اسم;"عمليّ";"عَمَلِيّ"
8363;نظف;نَظَّفَ;فعل;"قذّر";"قَذَّرَ"
8364;نظف;نَظُفَ;فعل;"قذر;توسّخ;تدنّس";"قَذُرَ;تَوَسَّخَ;تَدَنَّسَ"
8365;نظم;نَظَّمَ;فعل;"بعثر;بدّد;";"بَعْثََرَ;بَدَّدَ;"
8366;نظير;نَظِير;اسم;"ضدّ";"ضِدّ"
8367;نظيف;نَظِيف;اسم;"قذر;وسخ;";"قَذِر;وَسِخ;"
8368;نعم;نَعمْ;حرف;"لآ;كلاّ;";"لآ;كَلاّ;"
8369;نعم;نَعَمَ;فعل;"قشف";"قَشِفَ"
8370;نعم;نَعُمَ;فعل;"خشن";"خَشُنَ"
8371;نعمة;نِعْمَة;اسم;"ضيق";"ضِيق"
8372;نعومة;نُعُومَة;اسم;"خشونة";"خُشُونَة"
8373;نعومة(العيش);نُعُومَة(العَيْشِ);اسم;"شظف";"شَظَف"
8374;نعيم;نَعِيم;اسم;"جحيم";"جَحِيم"
8375;نغص;نَغَص;اسم;"صفاء";"صَفَاء"
8376;نفى(الأمر);نَفَى(الأَمْرَ);فعل;"أثبت;أكّد;";"أَثْبَتَ;أَكَّدَ;"
8377;نفاد;نَفَاد;اسم;"استمرار;بقاء;ديمومة";"اسْتِمْرَار;بَقَاء;دَيْمُومَة"
8378;نفخ;نَفَخَ;فعل;"شرق";"شَرَقَ"
8379;نفذ(الأمر);نَفَّذَ(الأَمْرَ);فعل;"علّق;تمرّد;";"عَلَّقَ;تَمَرَّدَ;"
8380;نفذ(الشيء);نَفِذَ(الشَيْءُ);فعل;"دام;بقي;";"دَامَ;بَقِيَ;"
8381;نفذ(الوعد);نَفَّذَ(الوَعْدَ);فعل;"أخلف(فيه)";"أَخْلَفَ(فِيهِ)"
8382;نفر;نَفَرَ;فعل;"ألف";"أَلِفَ"
8383;نفر(القوم);نَفَرَ(القَوْمَ);فعل;"اجتمع;تناغم;تآلف";"اجْتَمَعَ;تَنَاغَمَ;تَآلَفَ"
8384;نفس;نَفَّسَ;فعل;"احتقن";"احْتَقَنَ"
8385;نفس(عنه);نَفَّسَ(عَنْهُ);فعل;"ضيّق(عليه)";"ضَيَّقَ(عَلَيْهِ)"
8386;نفع;نَفَعَ;فعل;"ضرّ";"ضَرَّ"
8387;نفع;نَفْع;اسم;"ضرر";"ضَرَر"
8388;نفور;نُفُور;اسم;"ألفة";"أُلْفَة"
8389;نفي;نَفْي;اسم;"إثبات;تأكيد;توكيد;إيجاب";"إِثْبَات;تَأْكِيد;تَوْكِيد;إِيجَاب"
8390;نفيس;نَفِيس;اسم;"زهيد;مبتذل;";"زَهِيد;مُبْتَذَل;"
8391;نقاوة;نَقَاوَة;اسم;"قذارة;وساخة;";"قَذَارَة;وَسَاخَة;"
8392;نقح;نَقَّحَ;فعل;"أفسد";"أَفْسَدَ"
8393;نقص;نَقْص;اسم;"زيادة;كمال;تمام";"زِيَادَة;كَمَال;تَمَام"
8394;نقص;نَقَصَ;فعل;"زاد;كمل;تمّ";"زَادَ;كَمَلَ;تَمَّ"
8395;نقض;نَقْض;اسم;"صون;وفاء;إبرام";"صَوْن;وَفَاء;إِبْرَام"
8396;نقض(العهد);نَقَضَ(العَهْدَ);فعل;"صان;وفى(به);";"صَانَ;وَفَى(بِهِ);"
8397;نقل;نَقَّلَ;فعل;"ثبّت";"ثَبَّتَ"
8398;نقي;نَقِيّ;اسم;"قذر;وسخ;دنس;ملوّث";"قَذِر;وَسِخ;دَنِس;مُلَوَّث"
8399;نقيض;نَقِيض;اسم;"نظير;شبيه;مثل";"نَظِير;شَبِيه;مِثْل"
8400;نكأ(الجرح);نَكَأَ(الجُرْحَ);فعل;"لأم;داوى;";"لأَمَ;دَاوَى;"
8401;نكث;نُكْث;اسم;"عهد";"عَهْد"
8402;نكث(العهد);نَكَثَ(العَهْدَ);فعل;"وفى(به);أنجز;";"وَفَى(بِهِ);أَنْجَزَ;"
8403;نكد;نَكَد;اسم;"صفاء";"صَفَاء"
8404;نكد(العيش);نَكَدُ(العَيْشِ);اسم;"صفاء;رخاء;";"صَفَاء;رَخَاء;"
8405;نكد(عيشه);نَكِدَ(عَيْشُهُ);فعل;"صفا";"صَفَا"
8406;نكد(من الرجال);نَكِد(مِنَ الرِجَال);اسم;"كريم;سخيّ;";"كَرِيم;سَخِيّ;"
8407;نكر;نَكَّرَ;فعل;"عرّف";"عَرَّفَ"
8408;نكر(الشيء);نَكَرَ(الشَيْءَ);فعل;"اعترف(به)";"اعْتَرَفَ(بِهِ)"
